code,name,size,amount,index_keyword,jq_code
512880,证券ETF国泰,551.9848371,2478195656.0,证券,sh.512880
159792,港股通互联网ETF富国,526.29428294,3333353865.262,其他,sz.159792
513180,恒生科技ETF华夏,521.80229284,6286339838.0,恒生,sh.513180
588200,科创芯片ETF嘉实,482.69380879,7288451776.0,芯片,sh.588200
159915,创业板ETF易方达,451.17775187,6460251325.066,创业板,sz.159915
510500,中证500ETF南方,381.42691377,2098793863.0,中证500,sh.510500
159941,纳指ETF广发,362.38512617,1804010775.041,纳指,sz.159941
512890,红利低波ETF华泰柏瑞,316.29444066,595204388.0,红利,sh.512890
159516,半导体设备ETF国泰,268.89676202,4031694766.657,半导体,sz.159516
510050,上证50ETF华夏,261.33055727,2655191778.0,上证50,sh.510050
513500,标普500ETF博时,251.17113837,370062377.0,标普,sh.513500
159819,人工智能ETF易方达,249.96574269,889884310.443,人工智能,sz.159819
159201,自由现金流ETF华夏,182.04571397,402848906.599,现金流,sz.159201
512010,医药ETF易方达,165.89176248,411277872.0,医药,sh.512010
159755,电池ETF广发,140.24993728,875690130.3,电池,sz.159755
513300,纳斯达克ETF华夏,137.42598537,669135498.0,纳斯达克,sh.513300
512100,中证1000ETF南方,105.29252382,1784394000.0,中证1000,sh.512100
516150,稀土ETF嘉实,89.76980397,355490879.0,稀土,sh.516150
159852,软件ETF嘉实,87.7211385,377493504.715,软件,sz.159852
588220,科创100ETF鹏华,86.70085079,1104342819.0,科创100,sh.588220
516160,新能源ETF南方,67.1820156,230785055.0,新能源,sh.516160
588790,科创AIETF博时,33.93986616,404299487.0,AI,sh.588790
513880,日经225ETF华安,26.0413102,194634612.0,日经,sh.513880
159667,工业母机ETF国泰,25.39746181,375694238.5,工业母机,sz.159667
512670,国防ETF鹏华,23.6988061,165814411.0,国防,sh.512670
